u,v,dep,dur,vid
3,1,14,2,3
9,8,35,1,2
1,9,11,2,2
3,6,45,8,3
1,6,19,1,2
3,10,29,9,3
5,3,35,8,1
10,9,41,7,2
9,8,55,8,2
6,4,28,7,1
6,1,49,7,1
10,2,13,7,2
5,7,42,3,1
10,4,29,1,2
3,1,35,4,3
5,10,58,8,1
4,2,52,5,3
9,7,48,1,2
7,6,55,2,2
3,5,27,6,3
1,5,38,2,2
3,10,30,7,3
6,8,7,8,1
5,3,52,3,1
10,1,20,2,2
7,3,47,1,2
9,3,49,5,2
9,3,54,6,2
5,8,20,2,1
2,1,1,8,3
1,6,27,2,2
6,8,44,8,1
6,7,53,6,1
4,5,32,6,3
3,9,6,3,3
4,9,8,9,3
3,9,22,6,3
5,8,16,9,1
3,10,48,9,3
10,2,43,7,2
7,1,33,9,2
1,6,14,3,2
10,7,24,1,2
7,6,17,4,2
5,9,23,4,1
7,3,11,1,2
8,1,30,2,1
7,2,24,3,2
6,10,32,10,1
5,6,26,3,1
7,5,43,3,2
9,7,10,8,2
8,7,15,10,1
4,10,19,6,3
2,6,28,2,3
6,10,32,1,1
4,8,55,3,3
6,9,20,5,1
7,8,21,8,2
5,1,13,2,1
3,10,45,10,3
6,3,14,6,1
7,10,45,1,2
